Ê±¼ä;¾­¶È;Î³¶È;1,1,2,2-ËÄÂÈÒÒÍé;1,1-¶þÂÈÒÒÏ©;1,2,4-ÈýÂÈ±½;1,2-¶þäåÒÒÍé;1,3-¶¡¶þÏ©;1,3-¶þÂÈ±ûÏ©;TVOC;¶¡Ï©;¶¡Íé¡¢±ûÍª;ÈýÒÒ°·;ÈýÂÈÒÒÏ©;ÈýÂÈÒÒÍé;Èý¼×±½;ÒÒÁòÃÑ¡¢¶¡Áò´¼;ÒÒËáÒÒõ¥;ÒÒËáÕý¶¡õ¥;ÒÒËáÕý±ûõ¥;¶þÒÒ»ù±½;¶þÒÒ»ù±½°·;¶þÑÇÒÒ»ùÈý°·;¶þÂÈ±½;¶þäå¼×Íé;¶þ¼×»ù¶þÁòÃÑ;¶þ¼×»ù¼×õ£°·;¶þ¼×±½¡¢ÒÒ±½;¶þ¼×±½·Ó;¶þÁò»¯Ì¼¡¢±ûÁò´¼;ÁùÂÈ-1,3-¶¡¶þÏ©;Ê®Ò»Íé;ËÄÂÈÒÒÏ©;ÈÉÍé;¼ºÏ©¡¢¼×»ù»·ÎìÍé;¼ºÁò´¼;ÒìÎì¶þÏ©;ÎìÏ©;ÎìÍé¡¢ÒìÎìÍé;Õý±û´¼;ÕýÊ®ÈýÍé;ÕýÊ®¶þÍé;Õý¼ºÍé¡¢¶þ¼×»ù¶¡Íé;Õý¸ýÍé;Õý¹ïÍé;Õý¹ï´¼;ÕýÐÁÍé;ÂÈÒÒÍé;ÂÈ±½;»·¼ºÏ©;¼×»ù»·¼ºÍé;¼×Áò´¼;¼×ÁòÃÑ¡¢ÒÒÁò´¼;¼×±½;¼×ËáÒÒõ¥;Á×ËáÈý¼×õ¥;±½;±½ÒÒÏ©;±½¼×Ëá¼×õ¥;±½°·
2019-09-26 18:51:00;113.263465;23.106165;0.0;3.28;1.14;0.0;5.09;2.59;222.53;10.46;18.89;1.5;1.46;0.0;2.15;1.44;1.28;0.0;1.29;1.59;0.0;0.0;1.56;0.49;0.17;1.91;9.95;1.25;2.74;0.0;0.0;1.23;11.87;10.77;0.48;8.61;18.39;7.95;0.0;0.0;6.55;4.9;3.42;0.0;0.0;8.83;0.0;3.72;1.75;4.19;12.53;23.69;13.64;0.86;1.76;3.82;0.0;0.81;2.48
2019-09-26 18:51:09;113.2634633333333;23.106165;0.0;4.63;0.49;0.0;2.48;4.06;194.78;13.2;18.5;0.0;0.0;1.98;2.41;2.48;1.69;0.0;1.07;1.43;0.0;0.24;1.46;0.0;0.19;2.12;8.6;2.38;2.74;0.0;1.25;2.39;10.15;7.12;0.0;6.64;11.04;7.3;0.21;0.42;5.23;5.68;2.38;0.0;0.0;0.0;0.0;3.78;1.09;3.43;13.36;19.11;12.57;1.42;0.67;4.02;0.23;0.89;2.27
2019-09-26 18:52:45;113.263465;23.106165;0.0;0.0;0.0;0.0;0.0;1.92;160.68;8.9;10.98;0.0;1.48;0.0;4.1;1.4;3.03;0.37;0.25;1.26;0.0;0.0;0.23;0.0;0.15;2.38;8.51;0.45;3.07;0.0;0.97;0.0;6.98;8.92;1.18;1.94;8.25;7.38;0.0;0.57;1.76;3.37;1.02;1.22;0.57;12.88;0.16;2.45;0.0;4.47;3.11;16.12;18.37;0.0;1.33;4.51;0.23;0.44;4.02
2019-09-26 18:52:50;113.2634616666667;23.10616333333334;0.0;0.0;0.0;0.0;0.0;1.92;127.32;9.32;11.83;0.0;0.0;0.0;3.24;0.0;3.07;0.0;0.96;1.22;0.41;0.0;0.0;0.0;0.01;1.07;6.96;0.0;0.0;0.0;0.97;0.0;4.49;6.19;1.1;0.0;6.68;5.47;0.0;0.57;2.29;2.48;0.86;1.22;0.0;6.27;0.0;2.31;0.55;3.37;4.26;12.73;15.9;0.0;1.07;3.82;0.14;0.44;4.12
2019-09-26 18:52:55;113.26334;23.10617833333333;0.0;0.0;0.48;0.0;0.0;1.82;127.47;8.45;10.42;0.39;0.0;0.0;3.17;0.0;2.19;0.0;0.96;1.11;0.41;0.0;0.21;0.0;0.21;1.58;7.43;0.0;0.0;0.0;0.0;0.0;3.77;2.59;0.4;3.21;7.38;4.74;0.0;0.0;2.29;2.85;0.92;1.22;0.0;8.69;0.0;2.18;0.55;5.4;4.89;9.44;16.64;0.0;2.2;3.59;0.34;0.66;4.66
2019-09-26 18:53:00;113.2632433333333;23.10617;0.0;1.73;0.48;0.0;2.09;2.16;113.87;7.78;10.48;0.39;0.0;0.0;2.61;0.0;1.01;0.0;0.47;1.24;0.41;0.35;0.47;0.0;0.2;1.44;6.86;0.28;0.0;0.0;0.0;0.0;4.75;2.18;0.4;3.21;3.72;4.1;0.0;0.0;2.29;3.56;1.84;0.0;0.0;4.28;0.0;2.49;1.56;3.85;4.89;3.27;15.79;0.0;2.57;3.44;0.6;0.72;3.93
2019-09-26 18:53:05;113.2631766666667;23.10616333333334;0.0;1.73;0.48;0.0;2.09;2.16;123.12;8.01;9.97;0.39;0.0;0.0;2.57;0.0;0.48;0.0;0.0;1.17;0.0;0.35;0.47;0.0;0.2;0.68;7.5;1.05;2.7;0.0;0.0;0.0;7.31;2.18;0.0;6.8;3.99;5.72;0.0;0.0;0.0;4.41;2.13;1.3;0.0;4.28;0.0;2.42;1.3;2.61;1.97;9.42;14.47;0.0;2.63;3.9;0.45;0.94;2.88
2019-09-26 18:53:10;113.263095;23.10615333333334;0.0;0.0;0.0;0.0;2.09;0.92;113.08;10.1;10.08;0.0;0.0;0.0;1.92;0.0;0.0;0.31;0.49;1.14;0.49;0.35;0.57;0.0;0.0;1.06;7.01;1.05;2.7;0.0;0.0;0.0;8.36;4.71;0.0;5.72;1.07;6.01;0.0;0.0;1.38;3.99;1.28;1.3;0.0;0.0;0.0;2.48;1.81;4.03;0.0;8.52;12.3;0.0;1.5;4.26;0.26;0.65;3.18
2019-09-26 18:53:15;113.2630316666667;23.10614666666667;0.0;0.0;0.0;0.0;0.0;0.0;132.6;10.34;10.29;0.0;0.0;0.0;1.84;0.0;0.61;1.34;0.38;1.05;0.53;0.0;0.31;0.0;0.14;1.29;7.85;0.34;8.1;0.0;0.0;0.0;9.24;5.39;0.0;7.73;4.84;5.97;0.0;0.0;1.38;2.89;0.36;1.3;0.0;6.12;0.0;1.93;2.3;4.51;2.84;11.86;11.38;0.0;0.63;3.93;0.0;0.37;3.22
2019-09-26 18:53:20;113.2629533333333;23.106135;0.0;0.0;0.0;0.0;0.0;0.94;136.38;5.54;10.5;0.0;0.0;0.0;1.82;0.0;1.21;1.34;1.09;1.18;0.53;0.0;0.31;0.0;0.14;1.71;7.48;0.67;2.84;0.59;1.19;0.0;8.4;10.95;0.0;7.92;4.7;4.64;0.0;0.0;2.66;3.53;0.74;0.0;0.0;11.75;0.0;1.75;1.82;6.77;4.36;8.89;10.57;0.25;0.0;4.03;0.0;0.39;3.2
